,Arrest_Number,County_State,Percent_Hispanic,per_gop,State,Incarceration_Number,Border
0,4,"Autauga, AL",2.5722538102417847,0.734357893029,AL,25,0
1,145,"Baldwin, AL",4.366698411107213,0.773514719949,AL,25,0
2,2,"Barbour, AL",4.309761779514541,0.522714148219,AL,25,0
3,4,"Blount, AL",8.727297934285318,0.8985187519700001,AL,25,0
4,7,"Calhoun, AL",3.43622446778216,0.6923969942589999,AL,25,0
5,1,"Cherokee, AL",1.5638877090010426,0.838712748738,AL,25,0
6,25,"Chilton, AL",7.624894447360614,0.825417693783,AL,25,0
7,1,"Clay, AL",3.107616999184158,0.7958003651860001,AL,25,0
8,3,"Cleburne, AL",2.328063504769528,0.878444580527,AL,25,0
9,6,"Coffee, AL",6.558020042752642,0.771461999708,AL,25,0
10,3,"Colbert, AL",2.4017507402026594,0.678875984732,AL,25,0
11,1,"Crenshaw, AL",1.6839378238341969,0.7215291106849999,AL,25,0
12,11,"Cullman, AL",4.213192975552167,0.878105048554,AL,25,0
13,3,"Dale, AL",5.888281895700204,0.741150561315,AL,25,0
14,23,"DeKalb, AL",14.015252970946051,0.834892279384,AL,25,0
15,15,"Elmore, AL",2.8014872092592364,0.748380978187,AL,25,0
16,5,"Etowah, AL",3.629925602004586,0.739108432626,AL,25,0
17,10,"Franklin, AL",16.01684984005321,0.7918025930570001,AL,25,0
18,4,"Geneva, AL",3.7063328974406873,0.854876061412,AL,25,0
19,2,"Henry, AL",2.5309827194972945,0.701384557815,AL,25,0
20,12,"Houston, AL",3.186994061083251,0.727266238401,AL,25,0
21,6,"Jackson, AL",2.72772201946472,0.800721674284,AL,25,0
22,104,"Jefferson, AL",3.6892956413026328,0.450220777564,AL,25,0
23,29,"Craighead, AR",4.719878698339878,0.651967513155,AR,8,0
24,8,"Crawford, AR",6.988873996802687,0.7517490408490001,AR,8,0
25,13,"Crittenden, AR",2.3247359172709094,0.440119002405,AR,8,0
26,1,"Desha, AR",5.247670426679745,0.453147184098,AR,8,0
27,1,"Drew, AR",2.948416095890411,0.6054639804640001,AR,8,0
28,20,"Faulkner, AR",3.9479475489341205,0.62915192822,AR,8,0
29,2,"Franklin, AR",2.8147648744311478,0.751567632129,AR,8,0
30,18,"Garland, AR",5.214221727983196,0.645883432085,AR,8,0
31,2,"Greene, AR",2.6151560178306092,0.7417833864929999,AR,8,0
32,6,"Hempstead, AR",12.527017291066283,0.62872279496,AR,8,0
33,10,"Hot Spring, AR",3.2685406698564594,0.6900550148119999,AR,8,0
34,7,"Howard, AR",11.403573811818788,0.680837289599,AR,8,0
35,10,"Independence, AR",5.997839589522009,0.738302462248,AR,8,0
36,1,"Jackson, AR",2.68076593312375,0.640486942863,AR,8,0
37,9,"Jefferson, AR",1.8912758168128756,0.359420628431,AR,8,0
38,6,"Johnson, AR",13.34870317002882,0.6748916305439999,AR,8,0
39,1,"Lincoln, AR",3.5952637244348757,0.64368117462,AR,8,0
40,9,"Lonoke, AR",4.061504791032422,0.7435552566689999,AR,8,0
41,1,"Madison, AR",5.24712898927733,0.725007372457,AR,8,0
42,1,"Marion, AR",2.0970495001219214,0.7557308722830001,AR,8,0
43,7,"Miller, AR",2.899280905051986,0.705151420543,AR,8,0
44,2,"Mississippi, AR",3.902803230842327,0.537745286649,AR,8,0
45,2,"Ouachita, AR",1.9977353607246846,0.541139560773,AR,8,0
46,6,"Pike, AR",6.598892620495597,0.7962588473209999,AR,8,0
47,1,"Poinsett, AR",2.755791305789234,0.596062843082,AR,8,0
48,4,"Polk, AR",6.2986692952193195,0.8134466198739999,AR,8,0
49,19,"Pope, AR",8.200358121919914,0.7284288698070001,AR,8,0
50,138,"Pulaski, AR",5.9452892502922365,0.387895617772,AR,8,0
51,26,"Saline, AR",4.235271723612829,0.689846260414,AR,8,0
52,2,"Scott, AR",7.372666729199888,0.788200198873,AR,8,0
53,136,"Sebastian, AR",13.38112774929133,0.660490851069,AR,8,0
54,18,"Sevier, AR",32.33874251148723,0.7263670577820001,AR,8,0
55,1,"Union, AR",3.68423662418803,0.624372628229,AR,8,0
56,1,"Van Buren, AR",2.888941510774331,0.7568555758679999,AR,8,0
57,152,"Washington, AR",16.166052834992954,0.517165048047,AR,8,0
58,13,"White, AR",4.077490072694518,0.7663837382969999,AR,8,0
59,4,"Yell, AR",19.29913427887272,0.719987478479,AR,8,0
60,549,"Alameda, CA",22.55582890039166,0.148711258246,CA,65,1
61,6,"Amador, CA",13.045477910342775,0.5957756313279999,CA,65,1
62,30,"Butte, CA",15.411587612840979,0.480300977836,CA,65,1
63,19,"Calaveras, CA",11.226471967311943,0.585295961315,CA,65,1
64,16,"Colusa, CA",57.82032676372829,0.538519866545,CA,65,1
65,796,"Contra Costa, CA",25.06270731322066,0.254389718539,CA,65,1
66,1,"Del Norte, CA",19.27754452005212,0.5484456788800001,CA,65,1
67,14,"El Dorado, CA",12.496174863387978,0.533834670731,CA,65,1
68,755,"Fresno, CA",52.03039993355206,0.45531518716200003,CA,65,1
69,20,"Glenn, CA",40.230912210466116,0.617123360699,CA,65,1
70,12,"Humboldt, CA",10.748472429761359,0.32355214651,CA,65,1
71,2188,"Imperial, CA",82.70369728254487,0.270532442337,CA,65,1
72,6,"Inyo, CA",21.1011677398232,0.531265632816,CA,65,1
73,2496,"Kern, CA",51.61573535842046,0.5473142725919999,CA,65,1
74,70,"Kings, CA",53.148854326804695,0.54096124031,CA,65,1
75,21,"Lake, CA",18.861976403021412,0.440935224224,CA,65,1
76,215,"Lassen, CA",18.40663640632337,0.7267319132600001,CA,65,1
77,4076,"Los Angeles, CA",48.34019163471181,0.233886938213,CA,65,1
78,93,"Madera, CA",56.24779938187082,0.5609841520009999,CA,65,1
79,115,"Marin, CA",15.786287679578034,0.159458254882,CA,65,1
80,3,"Mariposa, CA",10.138849532445452,0.584093725358,CA,65,1
81,38,"Mendocino, CA",23.97350387259893,0.312286838653,CA,65,1
82,158,"Merced, CA",57.53751872634443,0.434729440538,CA,65,1
83,1,"Modoc, CA",14.77914314181335,0.7183685620720001,CA,65,1
84,4,"Mono, CA",27.506939007899796,0.403570042685,CA,65,1
85,397,"Monterey, CA",57.434548036847886,0.272849517978,CA,65,1
86,96,"Napa, CA",33.49168814753271,0.295744312133,CA,65,1
87,15,"Nevada, CA",9.143442249009013,0.44157796620399997,CA,65,1
88,3199,"Orange, CA",34.17882767157129,0.432801094389,CA,65,1
89,46,"Placer, CA",13.466785042542453,0.524652565567,CA,65,1
90,1,"Plumas, CA",8.414204969606484,0.575198187995,CA,65,1
91,708,"Riverside, CA",47.4621023696454,0.452762678244,CA,65,1
92,982,"Sacramento, CA",22.50841614277023,0.348695045837,CA,65,1
93,16,"San Benito, CA",58.33491240460974,0.36825631686800003,CA,65,1
94,1409,"San Bernardino, CA",51.69583159685469,0.42413027758,CA,65,1
95,2493,"San Diego, CA",33.083345320954734,0.382352214351,CA,65,1
96,153,"San Francisco, CA",15.277049261303896,0.09442505372369998,CA,65,1
97,264,"San Joaquin, CA",40.473519290490444,0.409944373436,CA,65,1
98,129,"San Luis Obispo, CA",21.922994115114108,0.422813566125,CA,65,1
99,230,"San Mateo, CA",25.081881634664814,0.186891084839,CA,65,1
100,862,"Santa Barbara, CA",44.3839825214215,0.327235970382,CA,65,1
101,378,"Santa Clara, CA",26.34356751205269,0.20852979907400002,CA,65,1
102,70,"Santa Cruz, CA",33.06635268758466,0.177589442247,CA,65,1
103,11,"Shasta, CA",9.319414377217845,0.655883893376,CA,65,1
104,1,"Sierra, CA",10.406004776526782,0.580931263858,CA,65,1
105,12,"Siskiyou, CA",11.679032701291565,0.565234926396,CA,65,1
106,80,"Solano, CA",25.439482676747456,0.317780184152,CA,65,1
107,270,"Sonoma, CA",26.042637652277328,0.228093380471,CA,65,1
108,235,"Stanislaus, CA",44.291796796221355,0.46726996752899996,CA,65,1
109,31,"Sutter, CA",29.856612791648324,0.551447632193,CA,65,1
110,68,"Tehama, CA",23.73879235102753,0.654907103825,CA,65,1
111,18,"Trinity, CA",7.207890743550835,0.510814249364,CA,65,1
112,305,"Tulare, CA",63.00209097152285,0.533863446511,CA,65,1
113,4,"Tuolumne, CA",11.571736224565573,0.574556918882,CA,65,1
114,575,"Ventura, CA",41.89631246219355,0.385746440995,CA,65,1
115,65,"Yolo, CA",31.21461718597231,0.26031645694600003,CA,65,1
116,18,"Yuba, CA",26.933434374873134,0.584718396809,CA,65,1
117,273,"Adams, CO",38.92936536542376,0.42145324768,CO,15,0
118,7,"Alamosa, CO",45.67969179966978,0.439466434682,CO,15,0
119,426,"Arapahoe, CO",18.66844324135296,0.389259314488,CO,15,0
120,2,"Archuleta, CO",18.535006070416834,0.5807956104249999,CO,15,0
121,2,"Bent, CO",31.60247592847318,0.616279069767,CO,15,0
122,69,"Boulder, CO",13.668576670350777,0.21934534755399998,CO,15,0
123,15,"Broomfield, CO",11.926532050152924,0.38219698998400004,CO,15,0
124,3,"Chaffee, CO",10.136705030528988,0.480316392399,CO,15,0
125,1,"Clear Creek, CO",5.66139857111929,0.438539407086,CO,15,0
126,2,"Costilla, CO",64.12256267409471,0.31923076923099997,CO,15,0
127,6,"Delta, CO",14.886999106581516,0.6952763939740001,CO,15,0
128,639,"Denver, CO",30.761507184499393,0.187854888911,CO,15,0
129,25,"Douglas, CO",8.189652429050593,0.547666167354,CO,15,0
130,36,"Eagle, CO",29.72737928687564,0.36057671045100004,CO,15,0
131,160,"El Paso, CO",16.18440972321403,0.563425510657,CO,15,0
132,7,"Elbert, CO",6.249742002063983,0.735292242973,CO,15,0
133,97,"Fremont, CO",12.889932742607025,0.6885740402189999,CO,15,0
134,40,"Garfield, CO",27.925906600573963,0.496467639015,CO,15,0
135,4,"Gilpin, CO",9.355290819901892,0.437604924454,CO,15,0
136,3,"Grand, CO",7.943409247757074,0.524726888288,CO,15,0
137,13,"Gunnison, CO",8.892944804581786,0.349499946231,CO,15,0
138,1,"Huerfano, CO",34.44257015795124,0.497083775186,CO,15,0
139,150,"Jefferson, CO",15.033553443925484,0.420745713649,CO,15,0
140,2,"Kit Carson, CO",19.439686811842428,0.8009964018819999,CO,15,0
141,23,"La Plata, CO",12.379153239248804,0.40593060347599996,CO,15,0
142,2,"Lake, CO",34.50885015538441,0.39811023622,CO,15,0
143,64,"Larimer, CO",11.008892223301807,0.426123147857,CO,15,0
144,5,"Las Animas, CO",42.31252618349393,0.546242342746,CO,15,0
145,2,"Lincoln, CO",21.323662737987306,0.7797668609489999,CO,15,0
146,8,"Logan, CO",15.323392187357058,0.749536178108,CO,15,0
147,33,"Mesa, CO",14.030209359772147,0.64278273412,CO,15,0
148,21,"Moffat, CO",14.60794844253491,0.813056835637,CO,15,0
149,8,"Montezuma, CO",12.108744135968623,0.611600818511,CO,15,0
150,28,"Montrose, CO",20.20016639749425,0.678832463218,CO,15,0
151,21,"Morgan, CO",35.20220588235294,0.6816958277249999,CO,15,0
152,2,"Otero, CO",41.28524945770065,0.5930924970229999,CO,15,0
153,1,"Park, CO",5.602189781021898,0.5908247925819999,CO,15,0
154,6,"Pitkin, CO",9.804480419540559,0.24280350438,CO,15,0
155,5,"Prowers, CO",36.704892335615874,0.7047006830050001,CO,15,0
156,31,"Pueblo, CO",42.546158684739574,0.46157173276600005,CO,15,0
157,2,"Rio Blanco, CO",10.28837488735356,0.809662398137,CO,15,0
158,6,"Rio Grande, CO",44.31730190140239,0.5575801749270001,CO,15,0
159,7,"Routt, CO",6.876563803169308,0.373874528028,CO,15,0
160,4,"Saguache, CO",38.097521982414065,0.409678611008,CO,15,0
161,2,"San Miguel, CO",9.73348783314021,0.2389236836,CO,15,0
162,16,"Summit, CO",14.154907923058527,0.315297926655,CO,15,0
163,1,"Teller, CO",6.100886162235856,0.674505386186,CO,15,0
164,2,"Washington, CO",9.181553801412546,0.843426883309,CO,15,0
165,148,"Weld, CO",28.77204970060957,0.567172434412,CO,15,0
166,3,"Yuma, CO",21.60591133004926,0.805102915952,CO,15,0
167,201,"Fairfield, CT",18.636007383036432,0.378905574012,CT,15,0
168,117,"Hartford, CT",16.897975770878386,0.370503407904,CT,15,0
169,4,"Litchfield, CT",5.402909134119401,0.547816983804,CT,15,0
170,18,"Middlesex, CT",5.64103187827631,0.439435759372,CT,15,0
171,45,"New Haven, CT",16.790958955665985,0.42130675243199994,CT,15,0
172,23,"New London, CT",9.815353284344178,0.43825033928400003,CT,15,0
173,1,"Tolland, CT",5.029369301663271,0.441020384331,CT,15,0
174,9,"Windham, CT",10.877363808742889,0.507622823107,CT,15,0
175,14,"Kent, DE",6.6050829863419525,0.498148222967,DE,15,0
176,77,"New Castle, DE",9.404398936950745,0.327026634234,DE,15,0
177,18,"Alachua, FL",8.994820349129515,0.36443004998899997,FL,35,0
178,6,"Baker, FL",2.3176625659050965,0.814785499446,FL,35,0
179,28,"Bay, FL",5.728270193596133,0.711523677296,FL,35,0
180,4,"Bradford, FL",3.79657490991493,0.736733344354,FL,35,0
181,41,"Brevard, FL",9.301690973330741,0.577787533762,FL,35,0
182,413,"Broward, FL",27.56484134393544,0.314182517315,FL,35,0
183,1,"Calhoun, FL",5.635738831615121,0.765946925993,FL,35,0
184,19,"Charlotte, FL",6.632201931125546,0.624939007298,FL,35,0
185,2,"Citrus, FL",5.121998106128029,0.683213971604,FL,35,0
186,11,"Clay, FL",9.007916304792708,0.704173443773,FL,35,0
187,492,"Collier, FL",26.634523713803283,0.617559602358,FL,35,0
188,3,"Columbia, FL",5.554415085486378,0.709471703373,FL,35,0
189,24,"DeSoto, FL",30.688222234872203,0.6267075550600001,FL,35,0
190,265,"Duval, FL",8.632685455494011,0.48995647651,FL,35,0
191,43,"Escambia, FL",5.389987531252625,0.582880963531,FL,35,0
192,5,"Flagler, FL",9.79332860460371,0.588786511766,FL,35,0
193,3,"Franklin, FL",5.117471166168304,0.686156921539,FL,35,0
194,9,"Gadsden, FL",10.027517171148139,0.30440690248700003,FL,35,0
195,10,"Glades, FL",20.991058122205665,0.68794489093,FL,35,0
196,3,"Gulf, FL",4.807267680272538,0.730869624948,FL,35,0
197,11,"Hamilton, FL",9.030775657986354,0.630893414052,FL,35,0
198,21,"Hardee, FL",43.00417551827705,0.691302626369,FL,35,0
199,55,"Hendry, FL",51.138732541171564,0.557536466775,FL,35,0
200,9,"Hernando, FL",11.5720289371426,0.628784166684,FL,35,0
201,22,"Highlands, FL",18.477271347939553,0.6472833358919999,FL,35,0
202,276,"Hillsborough, FL",26.627308381561214,0.446883738438,FL,35,0
203,2,"Holmes, FL",1.5841381777300834,0.8789090054080001,FL,35,0
204,26,"Indian River, FL",11.794938833922748,0.6078325844520001,FL,35,0
205,28,"Jackson, FL",4.597606781470002,0.6777634900220001,FL,35,0
206,4,"Jefferson, FL",4.04061923022298,0.514330585002,FL,35,0
207,4,"Lafayette, FL",12.85746968657058,0.828148148148,FL,35,0
208,38,"Lake, FL",13.807913447066305,0.599700997069,FL,35,0
209,180,"Lee, FL",19.641393894004143,0.586687415783,FL,35,0
210,69,"Leon, FL",6.08136578788432,0.35397070923199997,FL,35,0
211,6,"Levy, FL",7.928073135719142,0.710383642278,FL,35,0
212,2,"Liberty, FL",6.155703077851539,0.771471927162,FL,35,0
213,9,"Madison, FL",4.827586206896552,0.570269316712,FL,35,0
214,92,"Manatee, FL",15.67014043139574,0.569574447824,FL,35,0
215,63,"Marion, FL",11.923041890339395,0.617302346907,FL,35,0
216,72,"Martin, FL",12.876321683421011,0.6202633512560001,FL,35,0
217,787,"Miami-Dade, FL",66.42812801895198,0.34093821206299996,FL,35,0
218,25,"Monroe, FL",22.506804925469865,0.515742093604,FL,35,0
219,7,"Nassau, FL",3.785611566714602,0.7353503663750001,FL,35,0
220,101,"Okaloosa, FL",8.348910611957221,0.7131943133609999,FL,35,0
221,49,"Okeechobee, FL",25.088787417554542,0.685299295775,FL,35,0
222,300,"Orange, FL",29.33812611708882,0.357440454379,FL,35,0
223,54,"Osceola, FL",50.24009334470224,0.358991577428,FL,35,0
224,479,"Palm Beach, FL",20.707742660090354,0.41197136488499997,FL,35,0
225,35,"Pasco, FL",13.427740574634967,0.589430016527,FL,35,0
226,95,"Pinellas, FL",8.849468042079808,0.48572998046899996,FL,35,0
227,119,"Polk, FL",19.733852288961266,0.553912933185,FL,35,0
228,5,"Putnam, FL",9.544423545032087,0.6698823961779999,FL,35,0
229,21,"Santa Rosa, FL",5.112170002989573,0.744876017934,FL,35,0
230,50,"Sarasota, FL",8.601269814150864,0.543077077927,FL,35,0
231,46,"Seminole, FL",19.25740282904912,0.48697058967699997,FL,35,0
232,41,"Sumter, FL",5.596492618123234,0.6878367623839999,FL,35,0
233,8,"Suwannee, FL",8.746248825968433,0.7647121820620001,FL,35,0
234,2,"Taylor, FL",3.440793552386857,0.746093329023,FL,35,0
235,15,"Union, FL",5.41592453328056,0.8022132443350001,FL,35,0
236,47,"Volusia, FL",12.332274875393006,0.548447200197,FL,35,0
237,1,"Wakulla, FL",3.67886568308105,0.684762773723,FL,35,0
238,44,"Walton, FL",5.888376023924067,0.765666438213,FL,35,0
239,8,"Washington, FL",3.4393145734356603,0.774407753051,FL,35,0
240,8,"Appling, GA",9.35361216730038,0.784235327717,GA,74,0
241,5,"Atkinson, GA",24.74600870827286,0.719278033794,GA,74,0
242,3,"Bacon, GA",8.230379521820282,0.8369077306730001,GA,74,0
243,4,"Baldwin, GA",2.1721096751659097,0.47844479004699997,GA,74,0
244,6,"Banks, GA",6.348167539267016,0.882522315001,GA,74,0
245,29,"Barrow, GA",9.603217889282792,0.732100735396,GA,74,0
246,44,"Bartow, GA",7.997684958113436,0.760996357894,GA,74,0
247,5,"Ben Hill, GA",6.055731111749497,0.6304237717369999,GA,74,0
248,2,"Berrien, GA",4.85620983882861,0.824013408502,GA,74,0
249,16,"Bibb, GA",3.110367459174806,0.387282047765,GA,74,0
250,6,"Brooks, GA",5.6120166187280285,0.5869495851950001,GA,74,0
251,2,"Bryan, GA",6.444991789819376,0.697935338246,GA,74,0
252,9,"Bulloch, GA",3.634076646477352,0.599395470167,GA,74,0
253,2,"Burke, GA",2.977493650932656,0.480320855615,GA,74,0
254,7,"Butts, GA",3.0836066271987734,0.708768597657,GA,74,0
255,4,"Camden, GA",6.114182600015358,0.652695883134,GA,74,0
256,1,"Candler, GA",11.056376573617953,0.7082778812880001,GA,74,0
257,30,"Carroll, GA",6.562291219803791,0.6854197147040001,GA,74,0
258,9,"Catoosa, GA",2.6932744306497067,0.786872878159,GA,74,0
259,632,"Charlton, GA",8.790869833436151,0.736027944112,GA,74,0
260,42,"Chatham, GA",6.048907870480127,0.41173252337,GA,74,0
261,4,"Chattooga, GA",4.619500119779605,0.783046325491,GA,74,0
262,110,"Cherokee, GA",9.88990976850266,0.727371982856,GA,74,0
263,41,"Clarke, GA",10.519760400534265,0.28699034395399997,GA,74,0
264,2,"Clay, GA",5.052151238591916,0.445318646735,GA,74,0
265,151,"Clayton, GA",13.137281745224202,0.13156125330600002,GA,74,0
266,1,"Clinch, GA",4.490754329321984,0.705689725747,GA,74,0
267,536,"Cobb, GA",12.619785059611086,0.46749626253,GA,74,0
268,20,"Coffee, GA",11.042702476650714,0.6890472078300001,GA,74,0
269,25,"Colquitt, GA",18.553541150384767,0.727781047675,GA,74,0
270,28,"Columbia, GA",6.04342978042086,0.670821000156,GA,74,0
271,7,"Cook, GA",5.8293866573115825,0.691454123882,GA,74,0
272,39,"Coweta, GA",6.630046082949309,0.693353991682,GA,74,0
273,5,"Crisp, GA",3.2479077229955333,0.6052,GA,74,0
274,4,"Dade, GA",2.1337735387625334,0.809073420968,GA,74,0
275,6,"Dawson, GA",3.9408866995073892,0.845890410959,GA,74,0
276,395,"DeKalb, GA",8.726733729151183,0.160647714714,GA,74,0
277,1,"Decatur, GA",5.628373168851195,0.586931041219,GA,74,0
278,1,"Dodge, GA",3.4817813765182186,0.717798427448,GA,74,0
279,9,"Dooly, GA",7.26808148200724,0.505995828989,GA,74,0
280,13,"Dougherty, GA",2.5420791543010637,0.301459100958,GA,74,0
281,58,"Douglas, GA",8.99966011729569,0.4323716551899999,GA,74,0
282,5,"Echols, GA",29.714285714285715,0.856170212766,GA,74,0
283,7,"Effingham, GA",3.681157344410227,0.763624706134,GA,74,0
284,3,"Elbert, GA",5.424358048881097,0.665950455005,GA,74,0
285,2,"Emanuel, GA",4.466839765875984,0.6800204133709999,GA,74,0
286,2,"Evans, GA",11.646324420013043,0.667406996113,GA,74,0
287,5,"Fannin, GA",2.011075488195861,0.8179190751450001,GA,74,0
288,28,"Fayette, GA",6.989360244760034,0.580157981022,GA,74,0
289,30,"Floyd, GA",10.301562386303392,0.70204379562,GA,74,0
290,74,"Forsyth, GA",9.38035037112259,0.7172760342810001,GA,74,0
291,8,"Franklin, GA",4.308635298359474,0.8324286051450001,GA,74,0
292,332,"Fulton, GA",7.419360987683056,0.271069054186,GA,74,0
293,8,"Gilmer, GA",10.944191186627988,0.823173129867,GA,74,0
294,24,"Glynn, GA",6.568388947387531,0.6310625422280001,GA,74,0
295,33,"Gordon, GA",14.99491788369978,0.804827586207,GA,74,0
296,13,"Grady, GA",10.650228673692583,0.6582126918469999,GA,74,0
297,4,"Greene, GA",6.168732990625945,0.621447174725,GA,74,0
298,828,"Gwinnett, GA",20.547399919015557,0.45214258592100004,GA,74,0
299,19,"Habersham, GA",13.752172719787758,0.81746031746,GA,74,0
300,239,"Hall, GA",27.38001490954526,0.7368998902089999,GA,74,0
301,2,"Haralson, GA",1.4650992430320577,0.8464257312010001,GA,74,0
302,4,"Harris, GA",3.1401551891367605,0.727855051245,GA,74,0
303,3,"Hart, GA",3.6013794184497216,0.7229334127220001,GA,74,0
304,33,"Henry, GA",6.2996390734506535,0.465548721401,GA,74,0
305,37,"Houston, GA",6.445751222030751,0.593545895666,GA,74,0
306,35,"Jackson, GA",6.951441309491237,0.8040063569499999,GA,74,0
307,6,"Jeff Davis, GA",11.422457032033705,0.806052269601,GA,74,0
308,1,"Jefferson, GA",3.4442318375408925,0.440871070089,GA,74,0
309,2,"Jenkins, GA",3.898398674765323,0.623599208965,GA,74,0
310,2,"Johnson, GA",2.3107076542191045,0.684139054861,GA,74,0
311,3,"Jones, GA",1.369290268631755,0.663046949856,GA,74,0
312,3,"Lanier, GA",5.259102292429205,0.693463823838,GA,74,0
313,3,"Laurens, GA",2.518723065980503,0.6376491155899999,GA,74,0
314,3,"Liberty, GA",12.050227525059032,0.380860589479,GA,74,0
315,1,"Long, GA",11.77869280287653,0.638354830859,GA,74,0
316,38,"Lowndes, GA",5.316160073047815,0.5788172656399999,GA,74,0
317,6,"Lumpkin, GA",4.598957998327652,0.780022719896,GA,74,0
318,7,"Madison, GA",4.636485438262464,0.7697781498530001,GA,74,0
319,3,"Marion, GA",1.6308119361554476,0.603518693057,GA,74,0
320,5,"Meriwether, GA",0.89171974522293,0.568129833351,GA,74,0
321,3,"Miller, GA",0.10150566739976315,0.743307086614,GA,74,0
322,5,"Mitchell, GA",4.381420669066643,0.543718976709,GA,74,0
323,4,"Monroe, GA",2.3221416950155302,0.6959368836290001,GA,74,0
324,10,"Murray, GA",13.964124193302505,0.8323941394300001,GA,74,0
325,56,"Muscogee, GA",7.391302177201539,0.39375,GA,74,0
326,8,"Newton, GA",4.905631322123945,0.477470482107,GA,74,0
327,4,"Oconee, GA",4.647714636024065,0.677088807147,GA,74,0
328,1,"Oglethorpe, GA",4.0018992064030385,0.695037593985,GA,74,0
329,9,"Paulding, GA",5.629046252419409,0.691103852882,GA,74,0
330,8,"Peach, GA",7.247184747463485,0.505187400692,GA,74,0
331,5,"Pickens, GA",3.0441451053614297,0.833285652982,GA,74,0
332,1,"Pierce, GA",5.097214923804519,0.863505550226,GA,74,0
333,15,"Polk, GA",12.812931682136538,0.777369684984,GA,74,0
334,1,"Pulaski, GA",4.694589877835951,0.6770428015559999,GA,74,0
335,4,"Putnam, GA",6.500776141869326,0.690912946665,GA,74,0
336,13,"Rabun, GA",8.01863658656204,0.7909170964899999,GA,74,0
337,20,"Richmond, GA",4.6336474396528615,0.326088696766,GA,74,0
338,35,"Rockdale, GA",10.019527458347131,0.35816329245300005,GA,74,0
339,2,"Seminole, GA",2.955381784728611,0.655018171652,GA,74,0
340,6,"Spalding, GA",4.3574039933756215,0.602775636083,GA,74,0
341,3,"Stephens, GA",2.9471544715447155,0.787090163934,GA,74,0
342,10,"Sumter, GA",5.2784036047634375,0.480725416932,GA,74,0
343,8,"Tattnall, GA",10.870942201108472,0.7402238697490001,GA,74,0
344,558,"Telfair, GA",14.495580615665956,0.6454928835,GA,74,0
345,1,"Terrell, GA",2.5843188786684186,0.447954055994,GA,74,0
346,6,"Thomas, GA",3.43731240411766,0.599305926321,GA,74,0
347,16,"Tift, GA",11.122852719274533,0.678336980306,GA,74,0
348,3,"Toombs, GA",11.373343151693668,0.725955204216,GA,74,0
349,2,"Towns, GA",2.3505830903790086,0.799435028249,GA,74,0
350,1,"Treutlen, GA",1.7285054388317689,0.66962962963,GA,74,0
351,25,"Troup, GA",3.6269729059064546,0.6064823789399999,GA,74,0
352,7,"Turner, GA",4.428904428904429,0.617699115044,GA,74,0
353,3,"Upson, GA",2.3073425778586043,0.667154888319,GA,74,0
354,9,"Walker, GA",1.9415053637204114,0.791094030661,GA,74,0
355,16,"Walton, GA",3.8519602909556707,0.76915275201,GA,74,0
356,9,"Ware, GA",3.756552942165905,0.7002469135799999,GA,74,0
357,1,"Washington, GA",2.1953578336557062,0.491332225125,GA,74,0
358,40,"Wayne, GA",6.062120909151503,0.785177332305,GA,74,0
359,2,"Wheeler, GA",2.0171457387796266,0.676022835395,GA,74,0
360,2,"White, GA",2.9673063255152807,0.8283918103810001,GA,74,0
361,122,"Whitfield, GA",33.50409539521287,0.7085830972930001,GA,74,0
362,2,"Wilcox, GA",4.074741107609185,0.7050117726199999,GA,74,0
363,2,"Wilkes, GA",4.181781539701733,0.574720357942,GA,74,0
364,1,"Wilkinson, GA",2.5343642611683848,0.5453695042100001,GA,74,0
365,18,"Hawaii, HI",12.405514250309789,0.269791104602,HI,74,0
366,4,"Kauai, HI",10.654818516047525,0.287602050503,HI,74,0
367,24,"Maui, HI",10.868173536219038,0.25884640560600003,HI,74,0
368,1,"Benton, IA",1.380248833592535,0.705801860974,IN,24,0
369,2,"Carroll, IA",2.2573583069812697,0.728656057614,IN,24,0
370,2,"Cass, IA",2.352415692697089,0.6860275910860001,IN,24,0
371,8,"Clay, IA",3.1982036654933848,0.7574384936499999,IN,24,0
372,3,"Clinton, IA",2.951721837738681,0.717047747142,IN,24,0
373,12,"Crawford, IA",27.27590832215548,0.65628403398,IN,24,0
374,2,"Fayette, IA",2.2313765877102645,0.717628541448,IN,24,0
375,5,"Franklin, IA",11.863754450110651,0.788444040036,IN,24,0
376,8,"Hamilton, IA",5.6281605043672425,0.5682418798409999,IN,24,0
377,3,"Hancock, IA",3.7343267308740686,0.695311849446,IN,24,0
378,1,"Harrison, IA",1.5905127310777818,0.7012629533679999,IN,24,0
379,1,"Henry, IA",4.483225515270046,0.692154420922,IN,24,0
380,1,"Jasper, IA",1.8548277270870217,0.7037731603030001,IN,24,0
381,1,"Jefferson, IA",2.9498358056845206,0.634276799643,IN,24,0
382,40,"Johnson, IA",5.322310324915849,0.686345860575,IN,24,0
383,2,"Marion, IA",1.813416875018827,0.360672445786,IN,24,0
384,15,"Marshall, IA",19.796244016202284,0.682252332297,IN,24,0
385,2,"Montgomery, IA",3.3911368015414256,0.731805840673,IN,24,0
386,2,"Scott, IA",6.283456836298183,0.6704194260490001,IN,24,0
387,2,"Shelby, IA",2.9052243804420628,0.709116253136,IN,24,0
388,1,"Union, IA",2.6955897599489593,0.744065733414,IN,24,0
